Desc,Value
Health Care,1107446
Social Security,944338
National Defense,615515
Income Security,546350
Net Interest,283049
Veteran Benefits,180324
Transportation,98742
Education and Job Training,106342
International Affairs,55951
Natural Resources and Environment,44311
Immigration and Other Federal Law Enforcement,38645
"Science, Space, and Technology Programs",30968
Response to Natural Disasters,15435
Other Government Programs,35075
